Calling Number,Called Number,Start Time,Duration (sec),Call Type,IMEI,IMSI,Cell Tower ID
+919876543210,+919859132987,2026-07-13 08:00:25,35,VOICE,860431045551234,404459876543210,CGI-404-45-11009-1122
+919810459204,+919875196033,2026-07-13 08:34:32,229,VOICE,86043104378677,404458450174633,CGI-404-45-11009-3162
+919865384622,+919885777327,2026-07-13 09:19:03,161,VOICE,86043104941590,404459450721000,CGI-404-45-11009-8644
+919859132987,+919841221207,2026-07-13 09:42:31,0,DATA,86043104492348,404451653701610,CGI-404-45-11009-3162
+919831636323,+919845269406,2026-07-13 09:52:41,136,VOICE,86043104941237,404459335230679,CGI-404-45-11009-5382
+919859132987,+919811661391,2026-07-13 10:07:06,0,SMS,86043104814475,404453788159452,CGI-404-45-11009-8644
+919845269406,+919847538529,2026-07-13 10:28:48,211,VOICE,86043104288869,404457667582029,CGI-404-45-11009-4132
+919816127655,+919887439161,2026-07-13 11:10:50,196,VOICE,86043104405692,404456057953528,CGI-404-45-11009-9050
+919892700598,+919894141963,2026-07-13 11:44:00,12,VOICE,86043104557973,404453022165499,CGI-404-45-11009-9050
+919841221207,+919885777327,2026-07-13 12:05:36,0,SMS,86043104260679,404454692832979,CGI-404-45-11009-5382
+919876543210,+919123456789,2026-07-13 12:20:29,259,VOICE,860431045551234,404459876543210,CGI-404-45-11009-1122
+919876543210,+919894141963,2026-07-13 12:29:05,236,VOICE,860431045551234,404459876543210,CGI-404-45-11009-1122
+919885777327,+919811661391,2026-07-13 12:39:04,163,VOICE,86043104846115,404453251166349,CGI-404-45-11009-5382
+919886183416,+919811661391,2026-07-13 13:14:02,0,DATA,86043104327584,404451271507922,CGI-404-45-11009-3162
+919811661391,+919846294375,2026-07-13 13:53:12,0,SMS,86043104596741,404458428949763,CGI-404-45-11009-3633
+919847538529,+919810459204,2026-07-13 14:09:59,0,DATA,86043104787194,404451668146112,CGI-404-45-11009-3162
+919875196033,+919846974050,2026-07-13 14:25:21,0,DATA,86043104866033,404457385333183,CGI-404-45-11009-4768
+919865384622,+919887439161,2026-07-13 15:07:30,82,VOICE,86043104495726,404457560776958,CGI-404-45-11009-6584
+919894141963,+919811661391,2026-07-13 15:18:12,108,VOICE,86043104709916,404455960890267,CGI-404-45-11009-6584
+919887439161,+919894141963,2026-07-13 15:47:11,178,VOICE,86043104894452,404458633610193,CGI-404-45-11009-4132
+919894141963,+919859132987,2026-07-13 15:58:52,231,VOICE,86043104430340,404457116687416,CGI-404-45-11009-4768
+919847538529,+919894141963,2026-07-13 16:44:10,0,DATA,86043104337337,404454026082249,CGI-404-45-11009-5382
+919886183416,+919894141963,2026-07-13 17:11:55,0,SMS,86043104341027,404451083206584,CGI-404-45-11009-3633
+919846294375,+919868125346,2026-07-13 17:33:33,118,VOICE,86043104951486,404457331613895,CGI-404-45-11009-8644
+919816127655,+919887439161,2026-07-13 17:55:10,0,SMS,86043104555121,404459422261007,CGI-404-45-11009-5382
+919894141963,+919811661391,2026-07-13 18:07:16,0,DATA,86043104359236,404455506652399,CGI-404-45-11009-2553
+919865384622,+919847538529,2026-07-13 18:13:25,0,DATA,86043104907694,404459891491041,CGI-404-45-11009-9050
+919865384622,+919892700598,2026-07-13 18:33:15,0,SMS,86043104971813,404458141282238,CGI-404-45-11009-3633
+919875196033,+919816127655,2026-07-13 19:04:03,0,DATA,86043104802525,404454431123746,CGI-404-45-11009-2553
+919846974050,+919887439161,2026-07-13 19:39:45,0,DATA,86043104547782,404452543480519,CGI-404-45-11009-8644
+919872631643,+919859132987,2026-07-13 19:45:53,0,SMS,86043104296147,404451330350870,CGI-404-45-11009-6584
+919876543210,+919123456789,2026-07-13 20:02:52,112,VOICE,860431045551234,404459876543210,CGI-404-45-11009-2553
+919816127655,+919810459204,2026-07-13 20:35:16,0,DATA,86043104893764,404451954899275,CGI-404-45-11009-8644
+919894141963,+919865384622,2026-07-13 20:49:45,149,VOICE,86043104702314,404455284198277,CGI-404-45-11009-8644
+919872631643,+919811661391,2026-07-13 21:00:50,0,DATA,86043104577125,404458138446271,CGI-404-45-11009-4768
+919876543210,+919811661391,2026-07-13 21:42:57,151,VOICE,860431045551234,404459876543210,CGI-404-45-11009-1122
+919816127655,+919847538529,2026-07-13 22:04:20,217,VOICE,86043104387354,404457775165145,CGI-404-45-11009-4768
+919811661391,+919887439161,2026-07-13 22:49:10,0,SMS,86043104997789,404457495452467,CGI-404-45-11009-8644
+919886183416,+919868125346,2026-07-13 23:01:41,96,VOICE,86043104919008,404453607160270,CGI-404-45-11009-8644
+919868125346,+919841221207,2026-07-13 23:37:22,0,DATA,86043104975894,404455063297999,CGI-404-45-11009-2553
+919846974050,+919868125346,2026-07-14 00:12:55,204,VOICE,86043104842210,404457645522656,CGI-404-45-11009-3633
+919844447836,+919847538529,2026-07-14 00:56:16,298,VOICE,86043104202098,404458447311397,CGI-404-45-11009-3633
+919892700598,+919865384622,2026-07-14 01:06:01,226,VOICE,86043104987132,404453210274722,CGI-404-45-11009-9050
+919876543210,+919123456789,2026-07-14 01:36:15,345,VOICE,860431045551234,404459876543210,CGI-404-45-11009-1122
+919894141963,+919846294375,2026-07-14 02:03:18,0,SMS,86043104806814,404454392755140,CGI-404-45-11009-3162
+919847538529,+919872631643,2026-07-14 02:45:11,95,VOICE,86043104509004,404457255599751,CGI-404-45-11009-5382
+919894141963,+919885777327,2026-07-14 03:09:03,280,VOICE,86043104743178,404457289946944,CGI-404-45-11009-9050
+919876543210,+919123456789,2026-07-14 03:33:48,202,VOICE,860431045551234,404459876543210,CGI-404-45-11009-2553
+919847538529,+919810459204,2026-07-14 03:58:44,204,VOICE,86043104749029,404459149185339,CGI-404-45-11009-4768
+919811661391,+919841221207,2026-07-14 04:21:04,0,DATA,86043104481053,404455187981364,CGI-404-45-11009-2170
+919846294375,+919846974050,2026-07-14 04:55:22,240,VOICE,86043104255336,404452298191356,CGI-404-45-11009-4768
+919887439161,+919846974050,2026-07-14 05:08:04,168,VOICE,86043104144189,404455408355687,CGI-404-45-11009-3162
+919845269406,+919847538529,2026-07-14 05:53:20,296,VOICE,86043104988015,404457465746753,CGI-404-45-11009-4768
+919876543210,+919123456789,2026-07-14 06:18:09,75,VOICE,860431045551234,404459876543210,CGI-404-45-11009-6584
+919831636323,+919859132987,2026-07-14 07:03:40,0,SMS,86043104237486,404459838463175,CGI-404-45-11009-4768
+919887439161,+919841221207,2026-07-14 07:39:44,0,DATA,86043104471790,404458230971220,CGI-404-45-11009-5382
+919816127655,+919841221207,2026-07-14 08:14:19,0,DATA,86043104325245,404459905654410,CGI-404-45-11009-2170
+919844447836,+919865384622,2026-07-14 08:50:51,151,VOICE,86043104155097,404453590997729,CGI-404-45-11009-9050
+919876543210,+919846294375,2026-07-14 09:22:04,0,SMS,860431045551234,404459876543210,CGI-404-45-11009-1122
+919894141963,+919816127655,2026-07-14 09:28:19,0,DATA,86043104834405,404455677862436,CGI-404-45-11009-3162
+919876543210,+919123456789,2026-07-14 09:40:28,341,VOICE,860431045551234,404459876543210,CGI-404-45-11009-1122
+919876543210,+919123456789,2026-07-14 10:24:58,362,VOICE,860431045551234,404459876543210,CGI-404-45-11009-1122
+919810459204,+919887439161,2026-07-14 10:49:40,37,VOICE,86043104980922,404457553366402,CGI-404-45-11009-2170
+919859132987,+919844447836,2026-07-14 10:56:35,103,VOICE,86043104684210,404453503170827,CGI-404-45-11009-8644
+919841221207,+919886183416,2026-07-14 11:18:49,0,SMS,86043104597551,404452284389986,CGI-404-45-11009-3162
+919845269406,+919887439161,2026-07-14 12:01:39,0,SMS,86043104509556,404452288343775,CGI-404-45-11009-5382
+919876543210,+919123456789,2026-07-14 12:10:06,251,VOICE,860431045551234,404459876543210,CGI-404-45-11009-1122
+919872631643,+919811661391,2026-07-14 12:40:42,0,DATA,86043104187727,404453317949100,CGI-404-45-11009-6584
+919876543210,+919123456789,2026-07-14 13:25:02,216,VOICE,860431045551234,404459876543210,CGI-404-45-11009-1122
+919885777327,+919847538529,2026-07-14 14:10:51,228,VOICE,86043104971192,404456393805507,CGI-404-45-11009-6584
+919892700598,+919886183416,2026-07-14 14:33:58,29,VOICE,86043104874273,404459198208845,CGI-404-45-11009-8644
+919876543210,+919123456789,2026-07-14 15:09:13,158,VOICE,860431045551234,404459876543210,CGI-404-45-11009-2553
+919831636323,+919885777327,2026-07-14 15:25:53,252,VOICE,86043104396770,404452227535739,CGI-404-45-11009-4768
+919847538529,+919887439161,2026-07-14 15:46:32,149,VOICE,86043104324180,404456189586648,CGI-404-45-11009-6584
+919872631643,+919845269406,2026-07-14 16:19:52,0,SMS,86043104719673,404459973690294,CGI-404-45-11009-6584
+919876543210,+919123456789,2026-07-14 16:25:53,204,VOICE,860431045551234,404459876543210,CGI-404-45-11009-1122
+919876543210,+919846974050,2026-07-14 16:42:07,0,SMS,860431045551234,404459876543210,CGI-404-45-11009-1122
+919876543210,+919123456789,2026-07-14 17:01:42,0,SMS,860431045551234,404459876543210,CGI-404-45-11009-1122
+919875196033,+919886183416,2026-07-14 17:31:56,44,VOICE,86043104397745,404451016421109,CGI-404-45-11009-3162
+919810459204,+919847538529,2026-07-14 17:38:47,65,VOICE,86043104290769,404454762443002,CGI-404-45-11009-2553
+919847538529,+919841221207,2026-07-14 18:19:42,259,VOICE,86043104131778,404458830264078,CGI-404-45-11009-8644
+919868125346,+919865384622,2026-07-14 18:43:16,42,VOICE,86043104222477,404455792393032,CGI-404-45-11009-8644
+919811661391,+919894141963,2026-07-14 19:25:01,207,VOICE,86043104547491,404453411196376,CGI-404-45-11009-2170
+919816127655,+919872631643,2026-07-14 20:07:03,0,SMS,86043104657397,404458584493084,CGI-404-45-11009-4768
+919887439161,+919875196033,2026-07-14 20:18:12,0,SMS,86043104970830,404451432150472,CGI-404-45-11009-6584
+919844447836,+919868125346,2026-07-14 20:38:35,293,VOICE,86043104666670,404451896681862,CGI-404-45-11009-2170
+919885777327,+919846974050,2026-07-14 20:43:40,0,SMS,86043104548011,404455596367422,CGI-404-45-11009-4768
+919810459204,+919894141963,2026-07-14 21:06:18,150,VOICE,86043104369215,404451489901561,CGI-404-45-11009-3162
+919872631643,+919859132987,2026-07-14 21:14:27,0,DATA,86043104550863,404453021860337,CGI-404-45-11009-3633
+919846974050,+919872631643,2026-07-14 21:57:12,0,SMS,86043104733904,404455461485718,CGI-404-45-11009-5382
+919816127655,+919841221207,2026-07-14 22:17:18,268,VOICE,86043104798972,404456427642328,CGI-404-45-11009-4132
+919845269406,+919894141963,2026-07-14 22:31:58,135,VOICE,86043104968188,404457477453999,CGI-404-45-11009-4132
+919841221207,+919872631643,2026-07-14 22:59:21,281,VOICE,86043104792399,404456027129508,CGI-404-45-11009-9050
+919831636323,+919885777327,2026-07-14 23:25:00,0,SMS,86043104351737,404454744058694,CGI-404-45-11009-4768
+919841221207,+919847538529,2026-07-14 23:50:29,175,VOICE,86043104151065,404454625329224,CGI-404-45-11009-8644
+919865384622,+919845269406,2026-07-15 00:16:58,101,VOICE,86043104326790,404452851657166,CGI-404-45-11009-6584
+919892700598,+919875196033,2026-07-15 00:31:35,0,SMS,86043104125018,404457230449536,CGI-404-45-11009-2553
+919846974050,+919844447836,2026-07-15 00:39:26,0,DATA,86043104550895,404452135261876,CGI-404-45-11009-8644
+919892700598,+919845269406,2026-07-15 01:25:04,0,SMS,86043104291897,404453680213164,CGI-404-45-11009-2170
+919892700598,+919865384622,2026-07-15 01:34:38,0,DATA,86043104138243,404454772980769,CGI-404-45-11009-3633
+919875196033,+919894141963,2026-07-15 02:08:26,0,DATA,86043104537116,404456873876614,CGI-404-45-11009-3162
+919876543210,+919123456789,2026-07-15 02:15:44,45,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919875196033,+919872631643,2026-07-15 02:21:21,167,VOICE,86043104325884,404459827786587,CGI-404-45-11009-6584
+919876543210,+919123456789,2026-07-15 02:39:49,0,SMS,359871109988776,404459876543210,CGI-404-45-11009-1122
+919810459204,+919847538529,2026-07-15 03:15:08,267,VOICE,86043104874745,404453269858617,CGI-404-45-11009-6584
+919810459204,+919872631643,2026-07-15 03:25:44,58,VOICE,86043104980636,404458674439775,CGI-404-45-11009-3162
+919845269406,+919831636323,2026-07-15 03:30:59,48,VOICE,86043104597665,404453694834376,CGI-404-45-11009-4768
+919887439161,+919845269406,2026-07-15 04:00:08,62,VOICE,86043104164573,404454432042154,CGI-404-45-11009-3633
+919876543210,+919123456789,2026-07-15 04:39:17,298,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919885777327,+919844447836,2026-07-15 04:45:14,76,VOICE,86043104149558,404451754293667,CGI-404-45-11009-9050
+919892700598,+919847538529,2026-07-15 04:59:18,165,VOICE,86043104782359,404454151020405,CGI-404-45-11009-8644
+919846974050,+919847538529,2026-07-15 05:27:29,258,VOICE,86043104605738,404452732659021,CGI-404-45-11009-2170
+919844447836,+919872631643,2026-07-15 05:49:35,211,VOICE,86043104772085,404451967382527,CGI-404-45-11009-5382
+919859132987,+919811661391,2026-07-15 06:06:09,0,DATA,86043104818591,404453281676931,CGI-404-45-11009-2170
+919876543210,+919123456789,2026-07-15 06:20:19,411,VOICE,359871109988776,404459876543210,CGI-404-45-11009-5382
+919876543210,+919875196033,2026-07-15 06:35:43,145,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919876543210,+919123456789,2026-07-15 07:09:06,0,SMS,359871109988776,404459876543210,CGI-404-45-11009-1122
+919886183416,+919846294375,2026-07-15 07:22:52,0,SMS,86043104717759,404458348545403,CGI-404-45-11009-8644
+919865384622,+919886183416,2026-07-15 07:43:13,0,SMS,86043104546386,404459447991999,CGI-404-45-11009-9050
+919859132987,+919872631643,2026-07-15 08:13:36,0,DATA,86043104358412,404459443428331,CGI-404-45-11009-6584
+919876543210,+919123456789,2026-07-15 08:57:04,0,SMS,359871109988776,404459876543210,CGI-404-45-11009-1122
+919846294375,+919885777327,2026-07-15 09:27:38,136,VOICE,86043104645870,404455872659878,CGI-404-45-11009-3633
+919886183416,+919868125346,2026-07-15 10:13:07,23,VOICE,86043104802213,404453101710415,CGI-404-45-11009-2553
+919876543210,+919123456789,2026-07-15 10:50:12,180,VOICE,359871109988776,404459876543210,CGI-404-45-11009-8877
+919810459204,+919887439161,2026-07-15 10:57:48,282,VOICE,86043104769927,404454743881407,CGI-404-45-11009-2170
+919886183416,+919894141963,2026-07-15 11:11:00,0,SMS,86043104711241,404451497640026,CGI-404-45-11009-5382
+919816127655,+919811661391,2026-07-15 11:47:41,257,VOICE,86043104260253,404453143803652,CGI-404-45-11009-2170
+919876543210,+919894141963,2026-07-15 12:12:52,0,SMS,359871109988776,404459876543210,CGI-404-45-11009-8877
+919816127655,+919872631643,2026-07-15 12:57:13,0,DATA,86043104151994,404458419698876,CGI-404-45-11009-2170
+919876543210,+919123456789,2026-07-15 13:27:50,200,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919887439161,+919892700598,2026-07-15 13:45:47,285,VOICE,86043104962482,404456719522703,CGI-404-45-11009-5382
+919892700598,+919872631643,2026-07-15 14:04:35,265,VOICE,86043104546971,404457313365017,CGI-404-45-11009-8644
+919876543210,+919885777327,2026-07-15 14:11:50,0,SMS,359871109988776,404459876543210,CGI-404-45-11009-1122
+919892700598,+919875196033,2026-07-15 14:48:42,159,VOICE,86043104950120,404455464790395,CGI-404-45-11009-8644
+919886183416,+919841221207,2026-07-15 15:29:44,214,VOICE,86043104151665,404452947115694,CGI-404-45-11009-9050
+919847538529,+919875196033,2026-07-15 15:42:42,277,VOICE,86043104483221,404457297775540,CGI-404-45-11009-3162
+919876543210,+919123456789,2026-07-15 16:00:55,0,SMS,359871109988776,404459876543210,CGI-404-45-11009-3633
+919841221207,+919872631643,2026-07-15 16:24:28,0,DATA,86043104514141,404457407846910,CGI-404-45-11009-2170
+919876543210,+919847538529,2026-07-15 16:47:15,74,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919872631643,+919892700598,2026-07-15 17:00:54,0,DATA,86043104583643,404453764973730,CGI-404-45-11009-3633
+919892700598,+919844447836,2026-07-15 17:09:23,13,VOICE,86043104618012,404457664610931,CGI-404-45-11009-5382
+919876543210,+919887439161,2026-07-15 17:39:24,401,VOICE,359871109988776,404459876543210,CGI-404-45-11009-2170
+919841221207,+919846974050,2026-07-15 18:19:53,0,SMS,86043104418924,404458664899191,CGI-404-45-11009-5382
+919844447836,+919859132987,2026-07-15 18:33:19,218,VOICE,86043104617161,404451573202891,CGI-404-45-11009-2553
+919872631643,+919846974050,2026-07-15 18:45:44,145,VOICE,86043104848783,404453643238107,CGI-404-45-11009-3162
+919811661391,+919846294375,2026-07-15 18:53:40,0,DATA,86043104290583,404454657432979,CGI-404-45-11009-3162
+919810459204,+919831636323,2026-07-15 19:16:23,265,VOICE,86043104751548,404454222811360,CGI-404-45-11009-2170
+919841221207,+919859132987,2026-07-15 19:51:55,265,VOICE,86043104785976,404451151813427,CGI-404-45-11009-6584
+919859132987,+919847538529,2026-07-15 20:10:45,0,DATA,86043104599177,404458796935241,CGI-404-45-11009-2170
+919876543210,+919123456789,2026-07-15 20:34:43,221,VOICE,359871109988776,404459876543210,CGI-404-45-11009-5382
+919876543210,+919123456789,2026-07-15 20:55:16,379,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919876543210,+919123456789,2026-07-15 21:24:00,84,VOICE,359871109988776,404459876543210,CGI-404-45-11009-4768
+919876543210,+919810459204,2026-07-15 21:41:51,0,SMS,359871109988776,404459876543210,CGI-404-45-11009-1122
+919876543210,+919123456789,2026-07-15 22:05:16,0,SMS,359871109988776,404459876543210,CGI-404-45-11009-1122
+919872631643,+919811661391,2026-07-15 22:35:25,0,SMS,86043104162570,404452887823440,CGI-404-45-11009-3162
+919847538529,+919865384622,2026-07-15 23:11:42,210,VOICE,86043104693340,404452082213575,CGI-404-45-11009-5382
+919892700598,+919872631643,2026-07-15 23:52:25,224,VOICE,86043104814982,404456573033183,CGI-404-45-11009-4132
+919892700598,+919868125346,2026-07-16 00:03:01,266,VOICE,86043104389109,404452907802262,CGI-404-45-11009-2170
+919876543210,+919123456789,2026-07-16 00:39:30,265,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919886183416,+919845269406,2026-07-16 00:56:38,260,VOICE,86043104306583,404457861306659,CGI-404-45-11009-2553
+919846294375,+919892700598,2026-07-16 01:06:19,279,VOICE,86043104153952,404454430717164,CGI-404-45-11009-4768
+919846294375,+919844447836,2026-07-16 01:44:23,0,DATA,86043104639143,404452911820574,CGI-404-45-11009-3162
+919859132987,+919810459204,2026-07-16 02:23:56,263,VOICE,86043104123625,404458396002885,CGI-404-45-11009-2553
+919810459204,+919892700598,2026-07-16 02:52:38,0,SMS,86043104649059,404455812214520,CGI-404-45-11009-4132
+919868125346,+919887439161,2026-07-16 03:30:44,0,DATA,86043104330173,404453571083906,CGI-404-45-11009-8644
+919876543210,+919886183416,2026-07-16 03:53:51,0,SMS,359871109988776,404459876543210,CGI-404-45-11009-3162
+919859132987,+919887439161,2026-07-16 04:32:34,124,VOICE,86043104505352,404451633520869,CGI-404-45-11009-5382
+919876543210,+919872631643,2026-07-16 04:51:19,0,SMS,359871109988776,404459876543210,CGI-404-45-11009-1122
+919872631643,+919810459204,2026-07-16 05:14:31,113,VOICE,86043104169185,404451497095983,CGI-404-45-11009-4132
+919894141963,+919865384622,2026-07-16 05:43:38,286,VOICE,86043104496929,404453022345077,CGI-404-45-11009-2553
+919876543210,+919887439161,2026-07-16 06:06:39,74,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919875196033,+919886183416,2026-07-16 06:37:45,152,VOICE,86043104325784,404454999815091,CGI-404-45-11009-4132
+919887439161,+919886183416,2026-07-16 07:09:31,0,DATA,86043104345998,404451913253764,CGI-404-45-11009-2553
+919876543210,+919872631643,2026-07-16 07:50:14,424,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919846974050,+919872631643,2026-07-16 08:30:02,0,DATA,86043104561986,404453390498577,CGI-404-45-11009-4132
+919810459204,+919846974050,2026-07-16 08:51:17,0,SMS,86043104265082,404451105372172,CGI-404-45-11009-9050
+919887439161,+919847538529,2026-07-16 08:58:43,0,SMS,86043104360476,404452006794524,CGI-404-45-11009-4768
+919876543210,+919123456789,2026-07-16 09:20:27,345,VOICE,359871109988776,404459876543210,CGI-404-45-11009-9050
+919876543210,+919123456789,2026-07-16 09:40:38,326,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919876543210,+919123456789,2026-07-16 09:59:59,43,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919816127655,+919847538529,2026-07-16 10:14:08,0,DATA,86043104279466,404452859110922,CGI-404-45-11009-8644
+919868125346,+919886183416,2026-07-16 10:47:38,144,VOICE,86043104244886,404458169893448,CGI-404-45-11009-3633
+919846294375,+919894141963,2026-07-16 11:10:55,0,DATA,86043104605731,404456389046754,CGI-404-45-11009-9050
+919876543210,+919123456789,2026-07-16 11:43:20,362,VOICE,359871109988776,404459876543210,CGI-404-45-11009-8644
+919875196033,+919885777327,2026-07-16 12:10:59,0,DATA,86043104457164,404453744207571,CGI-404-45-11009-3162
+919831636323,+919885777327,2026-07-16 12:40:19,80,VOICE,86043104235978,404459723488369,CGI-404-45-11009-5382
+919876543210,+919886183416,2026-07-16 12:56:17,402,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919847538529,+919868125346,2026-07-16 13:19:44,0,DATA,86043104745050,404455779517065,CGI-404-45-11009-5382
+919876543210,+919892700598,2026-07-16 13:33:52,317,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919847538529,+919811661391,2026-07-16 14:12:17,0,DATA,86043104862971,404455912891331,CGI-404-45-11009-6584
+919816127655,+919831636323,2026-07-16 14:42:16,0,DATA,86043104234926,404458192424995,CGI-404-45-11009-4768
+919811661391,+919885777327,2026-07-16 15:23:13,0,DATA,86043104278335,404453306186845,CGI-404-45-11009-4132
+919876543210,+919847538529,2026-07-16 15:48:30,196,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919816127655,+919865384622,2026-07-16 16:21:57,189,VOICE,86043104588579,404454922781830,CGI-404-45-11009-8644
+919810459204,+919846294375,2026-07-16 16:43:33,0,SMS,86043104596501,404453638087300,CGI-404-45-11009-2553
+919816127655,+919886183416,2026-07-16 17:07:08,0,SMS,86043104593293,404451118559772,CGI-404-45-11009-4768
+919894141963,+919847538529,2026-07-16 17:42:44,234,VOICE,86043104713127,404457007171892,CGI-404-45-11009-2170
+919872631643,+919845269406,2026-07-16 18:20:32,0,SMS,86043104187852,404457338386938,CGI-404-45-11009-2553
+919876543210,+919831636323,2026-07-16 18:50:38,0,SMS,359871109988776,404459876543210,CGI-404-45-11009-5382
+919859132987,+919892700598,2026-07-16 19:20:31,0,SMS,86043104343326,404459872583777,CGI-404-45-11009-6584
+919816127655,+919844447836,2026-07-16 19:37:43,0,SMS,86043104570268,404455785180825,CGI-404-45-11009-2553
+919846974050,+919868125346,2026-07-16 20:18:22,0,DATA,86043104222392,404457515769723,CGI-404-45-11009-8644
+919847538529,+919816127655,2026-07-16 20:37:58,0,DATA,86043104597116,404456267073891,CGI-404-45-11009-3633
+919846974050,+919886183416,2026-07-16 21:19:58,47,VOICE,86043104679668,404454793690904,CGI-404-45-11009-3633
+919885777327,+919846974050,2026-07-16 21:43:39,0,DATA,86043104382099,404459451360994,CGI-404-45-11009-8644
+919845269406,+919865384622,2026-07-16 22:20:32,0,SMS,86043104294770,404451161144715,CGI-404-45-11009-5382
+919875196033,+919844447836,2026-07-16 22:38:32,0,SMS,86043104218678,404453325897592,CGI-404-45-11009-5382
+919844447836,+919810459204,2026-07-16 23:12:24,104,VOICE,86043104210060,404456000450750,CGI-404-45-11009-8644
+919872631643,+919816127655,2026-07-16 23:24:26,17,VOICE,86043104527030,404456941178220,CGI-404-45-11009-2170
+919892700598,+919844447836,2026-07-16 23:48:34,0,DATA,86043104467150,404453151429434,CGI-404-45-11009-6584
+919847538529,+919844447836,2026-07-17 00:21:02,55,VOICE,86043104431094,404456861483314,CGI-404-45-11009-8644
+919847538529,+919875196033,2026-07-17 00:51:01,0,SMS,86043104935940,404456723851718,CGI-404-45-11009-6584
+919886183416,+919846294375,2026-07-17 01:03:12,0,SMS,86043104220371,404455856791692,CGI-404-45-11009-3633
+919876543210,+919123456789,2026-07-17 01:28:38,127,VOICE,359871109988776,404459876543210,CGI-404-45-11009-3633
+919846974050,+919847538529,2026-07-17 02:06:30,183,VOICE,86043104712460,404458635673372,CGI-404-45-11009-6584
+919811661391,+919841221207,2026-07-17 02:36:56,0,SMS,86043104782428,404451694258935,CGI-404-45-11009-8644
+919846294375,+919811661391,2026-07-17 03:19:15,0,DATA,86043104367075,404458538938237,CGI-404-45-11009-3162
+919846974050,+919887439161,2026-07-17 03:30:56,0,DATA,86043104202083,404455454722273,CGI-404-45-11009-2553
+919885777327,+919892700598,2026-07-17 04:10:43,0,SMS,86043104908097,404451147958012,CGI-404-45-11009-9050
+919876543210,+919816127655,2026-07-17 04:46:27,141,VOICE,359871109988776,404459876543210,CGI-404-45-11009-1122
+919846974050,+919875196033,2026-07-17 05:20:53,0,DATA,86043104984099,404456934320217,CGI-404-45-11009-2170
+919887439161,+919885777327,2026-07-17 05:59:58,0,DATA,86043104910447,404459051486045,CGI-404-45-11009-9050
+919865384622,+919886183416,2026-07-17 06:19:38,0,SMS,86043104506620,404457089676364,CGI-404-45-11009-2170
