transaction_id,timestamp,account_number,recipient_account,amount_inr,transaction_type,status,bank_name,ip_address
TXN100069,2026-07-09 23:00:00,ACC1009,ACC5014,25000,IMPS,COMPLETED,ICICI Bank,192.168.252.84
TXN100070,2026-07-10 02:00:00,ACC1004,ACC5010,5000,IMPS,COMPLETED,Axis Bank,192.168.216.69
TXN100071,2026-07-10 05:00:00,ACC1001,ACC5003,1500,RTGS,COMPLETED,HDFC Bank,192.168.34.6
TXN100072,2026-07-10 08:00:00,ACC1003,ACC5012,250000,UPI,COMPLETED,Axis Bank,192.168.53.194
TXN100073,2026-07-10 11:00:00,ACC1011,ACC5006,250000,IMPS,SUSPICIOUS_FLAG,Axis Bank,192.168.205.126
TXN100074,2026-07-10 14:00:00,ACC1014,ACC5018,1500,IMPS,FAILED,Punjab National Bank,192.168.235.43
TXN100075,2026-07-10 17:00:00,ACC1011,ACC5001,1500,NEFT,COMPLETED,HDFC Bank,192.168.240.203
TXN100076,2026-07-10 20:00:00,ACC1006,ACC5009,5000,UPI,SUSPICIOUS_FLAG,Axis Bank,192.168.115.111
TXN100077,2026-07-10 23:00:00,ACC1011,ACC5012,5000,IMPS,COMPLETED,Axis Bank,192.168.249.151
TXN100078,2026-07-11 02:00:00,ACC1012,ACC5005,500000,IMPS,COMPLETED,HDFC Bank,192.168.183.80
TXN100079,2026-07-11 05:00:00,ACC1007,ACC5011,500,IMPS,COMPLETED,HDFC Bank,192.168.95.203
TXN100080,2026-07-11 08:00:00,ACC1014,ACC5011,500,NEFT,COMPLETED,Axis Bank,192.168.118.144
TXN100081,2026-07-11 11:00:00,ACC1002,ACC5019,5000,NEFT,COMPLETED,HDFC Bank,192.168.8.132
TXN100082,2026-07-11 14:00:00,ACC1013,ACC5010,500,IMPS,COMPLETED,Axis Bank,192.168.104.132
TXN100083,2026-07-11 17:00:00,ACC1000,ACC5006,1500,RTGS,COMPLETED,Axis Bank,192.168.184.25
TXN100084,2026-07-11 20:00:00,ACC1003,ACC5000,25000,NEFT,COMPLETED,Punjab National Bank,192.168.195.96
TXN100085,2026-07-11 23:00:00,ACC1001,ACC5000,25000,IMPS,SUSPICIOUS_FLAG,State Bank of India,192.168.195.155
TXN100086,2026-07-12 02:00:00,ACC1007,ACC5019,1500,IMPS,COMPLETED,Axis Bank,192.168.93.160
TXN100087,2026-07-12 05:00:00,ACC1003,ACC5012,5000,IMPS,COMPLETED,ICICI Bank,192.168.178.61
TXN100088,2026-07-12 08:00:00,ACC1001,ACC5008,5000,RTGS,SUSPICIOUS_FLAG,State Bank of India,192.168.122.51
TXN100089,2026-07-12 11:00:00,ACC1013,ACC5002,25000,NEFT,SUSPICIOUS_FLAG,State Bank of India,192.168.147.21
TXN100090,2026-07-12 14:00:00,ACC1005,ACC5006,1500,NEFT,SUSPICIOUS_FLAG,State Bank of India,192.168.5.210
TXN100091,2026-07-12 17:00:00,ACC1005,ACC5005,5000,NEFT,COMPLETED,Punjab National Bank,192.168.92.170
TXN100092,2026-07-12 20:00:00,ACC1009,ACC5007,250000,NEFT,COMPLETED,Axis Bank,192.168.61.22
TXN100093,2026-07-12 23:00:00,ACC1003,ACC5008,5000,UPI,COMPLETED,Punjab National Bank,192.168.149.70
TXN100094,2026-07-13 02:00:00,ACC1005,ACC5004,100000,IMPS,COMPLETED,Axis Bank,192.168.1.133
TXN100095,2026-07-13 05:00:00,ACC1012,ACC5000,5000,NEFT,SUSPICIOUS_FLAG,Punjab National Bank,192.168.233.12
TXN100096,2026-07-13 08:00:00,ACC1014,ACC5018,1500,IMPS,COMPLETED,Punjab National Bank,192.168.90.46
TXN100097,2026-07-13 11:00:00,ACC1001,ACC5009,25000,IMPS,FAILED,ICICI Bank,192.168.34.177
TXN100098,2026-07-13 14:00:00,ACC1009,ACC5011,25000,IMPS,FAILED,Punjab National Bank,192.168.78.218
TXN100099,2026-07-13 17:00:00,ACC1011,ACC5014,100000,IMPS,FAILED,HDFC Bank,192.168.45.155
