transaction_id,timestamp,account_number,account_holder,transaction_type,amount_inr,balance_after_txn,payment_mode,counterparty_account,remarks_description,status,channel,ip_address
TXN20260010,2026-06-12 11:56:19,ACC987654321,Rajesh Sharma,CREDIT,125000.0,1021020.0,NEFT,ACC_EMPLOYER_SALARY,Monthly Salary Credit,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260011,2026-06-13 14:37:57,ACC987654321,Rajesh Sharma,CREDIT,125000.0,1146020.0,NEFT,ACC_EMPLOYER_SALARY,Monthly Salary Credit,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260012,2026-06-15 02:14:00,ACC987654321,Rajesh Sharma,DEBIT,10.0,1146010.0,IMPS,ACC8890123_MULE1,Urgent Transfer,SUCCESS,WEB_BANKING,103.21.124.89
TXN20260013,2026-06-15 02:17:00,ACC987654321,Rajesh Sharma,DEBIT,49999.0,1096011.0,IMPS,ACC8890123_MULE1,Urgent Transfer,SUCCESS,WEB_BANKING,103.21.124.89
TXN20260014,2026-06-15 02:20:00,ACC987654321,Rajesh Sharma,DEBIT,49999.0,1046012.0,IMPS,ACC8890123_MULE1,Urgent Transfer,SUCCESS,WEB_BANKING,103.21.124.89
TXN20260015,2026-06-18 01:24:29,ACC987654321,Rajesh Sharma,DEBIT,2500.0,1043512.0,UPI,AMZN_IN_RETAIL,Merchant Payment,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260016,2026-06-19 04:06:07,ACC987654321,Rajesh Sharma,CREDIT,125000.0,1168512.0,NEFT,ACC_EMPLOYER_SALARY,Monthly Salary Credit,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260017,2026-06-20 06:47:45,ACC987654321,Rajesh Sharma,DEBIT,2500.0,1166012.0,UPI,SWIGGY_FOODS,Food Delivery,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260018,2026-06-21 09:29:23,ACC987654321,Rajesh Sharma,DEBIT,2500.0,1163512.0,UPI,AMZN_IN_RETAIL,Merchant Payment,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260019,2026-06-22 12:11:01,ACC987654321,Rajesh Sharma,DEBIT,15000.0,1148512.0,UPI,AMZN_IN_RETAIL,Merchant Payment,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260020,2026-06-23 14:52:39,ACC987654321,Rajesh Sharma,DEBIT,250.0,1148262.0,IMPS,ACC1008892_MEHTA,Personal Transfer,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260021,2026-06-24 17:34:17,ACC987654321,Rajesh Sharma,DEBIT,15000.0,1133262.0,BILL_PAY,ELECTRICITY_GRID_GUJ,Utility Bill,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260022,2026-06-25 20:15:55,ACC987654321,Rajesh Sharma,DEBIT,250.0,1133012.0,IMPS,ACC1008892_MEHTA,Personal Transfer,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260023,2026-06-26 22:57:33,ACC987654321,Rajesh Sharma,DEBIT,15000.0,1118012.0,UPI,FLIPKART_PAY,Online Purchase,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260024,2026-06-28 01:39:11,ACC987654321,Rajesh Sharma,CREDIT,120000.0,1238012.0,NEFT,ACC_EMPLOYER_SALARY,Monthly Salary Credit,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260025,2026-06-29 04:20:48,ACC987654321,Rajesh Sharma,CREDIT,125000.0,1363012.0,NEFT,ACC_EMPLOYER_SALARY,Monthly Salary Credit,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260026,2026-06-30 07:02:26,ACC987654321,Rajesh Sharma,DEBIT,480.0,1362532.0,BILL_PAY,ELECTRICITY_GRID_GUJ,Utility Bill,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260027,2026-07-01 09:44:04,ACC987654321,Rajesh Sharma,DEBIT,250.0,1362282.0,IMPS,ACC1008892_MEHTA,Personal Transfer,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260028,2026-07-02 23:45:00,ACC987654321,Rajesh Sharma,DEBIT,100000.0,1262282.0,RTGS,CRYPTO_GATEWAY_P2P,Investment Deposit,SUCCESS,WEB_BANKING,103.21.124.89
TXN20260029,2026-07-02 23:50:00,ACC987654321,Rajesh Sharma,DEBIT,150000.0,1112282.0,RTGS,CRYPTO_GATEWAY_P2P,Investment Deposit,SUCCESS,WEB_BANKING,103.21.124.89
TXN20260030,2026-07-02 23:55:00,ACC987654321,Rajesh Sharma,DEBIT,95000.0,1017282.0,RTGS,CRYPTO_GATEWAY_P2P,Investment Deposit,SUCCESS,WEB_BANKING,103.21.124.89
TXN20260031,2026-07-05 20:30:36,ACC987654321,Rajesh Sharma,CREDIT,120000.0,1137282.0,NEFT,ACC_EMPLOYER_SALARY,Monthly Salary Credit,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260032,2026-07-06 23:12:14,ACC987654321,Rajesh Sharma,DEBIT,2500.0,1134782.0,BILL_PAY,ELECTRICITY_GRID_GUJ,Utility Bill,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260033,2026-07-08 01:53:52,ACC987654321,Rajesh Sharma,DEBIT,15000.0,1119782.0,NEFT,ACC1002345_KAPIL,Rent Payment,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260034,2026-07-09 04:35:30,ACC987654321,Rajesh Sharma,DEBIT,480.0,1119302.0,UPI,FLIPKART_PAY,Online Purchase,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260035,2026-07-10 07:17:08,ACC987654321,Rajesh Sharma,DEBIT,15000.0,1104302.0,BILL_PAY,ELECTRICITY_GRID_GUJ,Utility Bill,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260036,2026-07-11 09:58:46,ACC987654321,Rajesh Sharma,DEBIT,15000.0,1089302.0,BILL_PAY,ELECTRICITY_GRID_GUJ,Utility Bill,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260037,2026-07-12 12:40:24,ACC987654321,Rajesh Sharma,DEBIT,22000.0,1067302.0,NEFT,ACC1002345_KAPIL,Rent Payment,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260038,2026-07-13 15:22:02,ACC987654321,Rajesh Sharma,DEBIT,2500.0,1064802.0,BILL_PAY,ELECTRICITY_GRID_GUJ,Utility Bill,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260039,2026-07-14 18:03:40,ACC987654321,Rajesh Sharma,CREDIT,125000.0,1189802.0,NEFT,ACC_EMPLOYER_SALARY,Monthly Salary Credit,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260040,2026-07-15 20:45:18,ACC987654321,Rajesh Sharma,DEBIT,22000.0,1167802.0,UPI,FLIPKART_PAY,Online Purchase,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260041,2026-07-16 23:26:56,ACC987654321,Rajesh Sharma,DEBIT,1200.0,1166602.0,UPI,FLIPKART_PAY,Online Purchase,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260042,2026-07-18 14:20:00,ACC987654321,Rajesh Sharma,DEBIT,25000.0,1141602.0,UPI,QUICK_LOAN_FEE_ACC,Processing Charge,SUCCESS,MOBILE_APP,103.21.124.89
TXN20260043,2026-07-18 14:32:00,ACC987654321,Rajesh Sharma,DEBIT,50000.0,1091602.0,UPI,QUICK_LOAN_FEE_ACC,Processing Charge,SUCCESS,MOBILE_APP,103.21.124.89
TXN20260044,2026-07-20 07:31:50,ACC987654321,Rajesh Sharma,CREDIT,120000.0,1211602.0,NEFT,ACC_EMPLOYER_SALARY,Monthly Salary Credit,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260045,2026-07-21 10:13:28,ACC987654321,Rajesh Sharma,DEBIT,250.0,1211352.0,UPI,FLIPKART_PAY,Online Purchase,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260046,2026-07-22 12:55:06,ACC987654321,Rajesh Sharma,DEBIT,2500.0,1208852.0,IMPS,ACC1008892_MEHTA,Personal Transfer,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260047,2026-07-23 15:36:44,ACC987654321,Rajesh Sharma,DEBIT,1200.0,1207652.0,UPI,FLIPKART_PAY,Online Purchase,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260048,2026-07-24 18:18:22,ACC987654321,Rajesh Sharma,CREDIT,120000.0,1327652.0,NEFT,ACC_EMPLOYER_SALARY,Monthly Salary Credit,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260049,2026-07-25 21:00:00,ACC987654321,Rajesh Sharma,DEBIT,4500.0,1323152.0,IMPS,ACC1008892_MEHTA,Personal Transfer,SUCCESS,MOBILE_APP,49.36.12.102
